0223170C EnemyZombieCreate
02231880 EnemyZombieUpdate
02232304 EnemyBatCreate
0223244C EnemyBatUpdate
0227ED24 EnemyGhostCreate
0227EDF0 EnemyGhostUpdate
0225E4E0 EnemySkeletonCreate
0225E5FC EnemySkeletonUpdate
0225FA00 EnemyOuijaTableCreate
0225FB4C EnemyOuijaTableUpdate
02264BE4 EnemyPeepingEyeCreate
02264E7C EnemyPeepingEyeUpdate
02239470 EnemyAxeArmorCreate
02239570 EnemyAxeArmorUpdate
02260424 EnemySkullArcherCreate
02260544 EnemySkullArcherUpdate
02230638 EnemyWargCreate
02230710 EnemyWargUpdate
02274C4C EnemySpinDevilCreate
02274D68 EnemySpinDevilUpdate
0227FD4C EnemyArmorKnightCreate
0227FE74 EnemyArmorKnightUpdate
0226AD7C EnemyStudentWitchCreate
0226AEB4 EnemyStudentWitchUpdate
02275AE8 EnemySlaughtererCreate
02275C1C EnemySlaughtererUpdate
0223D850 EnemyBomberArmorCreate
0223D94C EnemyBomberArmorUpdate
022FECD4 EnemyGolemCreate ; Overlay 28
022FF018 EnemyGolemUpdate ; Overlay 28
02288054 EnemySlimeCreate
02288200 EnemySlimeUpdate
022483B8 EnemyUneCreate
0224850C EnemyUneUpdate
0227C578 EnemySkeletonApeCreate
0227C0B4 EnemySkeletonApeUpdate
022FED28 EnemyManticoreCreate ; Overlay 27
022FF054 EnemyManticoreUpdate ; Overlay 27
0229543C EnemyMolluscaCreate
0229562C EnemyMolluscaUpdate
02253B98 EnemyRycudaCreate
02253C84 EnemyRycudaUpdate
0223F384 EnemyMandragoraCreate
0223F488 EnemyMandragoraUpdate
0226174C EnemyYorickCreate
022618C0 EnemyYorickUpdate
02252E84 EnemySkeletonFarmerCreate
02253068 EnemySkeletonFarmerUpdate
02293794 EnemyTheCreatureCreate
022938B8 EnemyTheCreatureUpdate
022FEA18 EnemyCatoblepasCreate ; Overlay 32
022FEDCC EnemyCatoblepasUpdate ; Overlay 32
02231558 EnemyGhoulCreate
02231564 EnemyGhoulUpdate
0224839C EnemyCorpseweedCreate
022483AC EnemyCorpseweedUpdate
022695B4 EnemyYetiCreate
022697C0 EnemyYetiUpdate
022387E0 EnemyTombstoneCreate
022388C0 EnemyTombstoneUpdate
0222FAA0 EnemyGhostDancerCreate
0222FCC0 EnemyGhostDancerUpdate
02297994 EnemyFlyingHumanoidCreate
02297AB0 EnemyFlyingHumanoidUpdate
02280D54 EnemyMiniDevilCreate
02280E3C EnemyMiniDevilUpdate
0228DE40 EnemyQuetzalcoatlCreate
0228DF58 EnemyQuetzalcoatlUpdate
022FF024 EnemyTreantCreate ; Overlay 28
022FF2F0 EnemyTreantUpdate ; Overlay 28
022818F4 EnemyAmalaricSniperCreate
022819F8 EnemyAmalaricSniperUpdate
0226F79C EnemyValkyrieCreate
0226F8F0 EnemyValkyrieUpdate
022FF344 EnemyGreatArmorCreate ; Overlay 24
022FF60C EnemyGreatArmorUpdate ; Overlay 24
02249EA4 EnemyKillerDollCreate
02249FB8 EnemyKillerDollUpdate
02235768 EnemyWaiterSkeletonCreate
02235848 EnemyWaiterSkeletonUpdate
022711DC EnemyPersephoneCreate
02271310 EnemyPersephoneUpdate
0226DD40 EnemyWitchCreate
0226DE68 EnemyWitchUpdate
0224EECC EnemyBuerCreate
0224F070 EnemyBuerUpdate
022627D4 EnemyLilithCreate
0226296C EnemyLilithUpdate
02254F20 EnemyKillerClownCreate
02255020 EnemyKillerClownUpdate
0227AB64 EnemySkelerangCreate
0227A388 EnemySkelerangUpdate
02238098 EnemyFleamanCreate
0223824C EnemyFleamanUpdate
022FEA30 EnemyDevilCreate ; Overlay 31
022FEC24 EnemyDevilUpdate ; Overlay 31
02273B08 EnemyGuillotinerCreate
02273C24 EnemyGuillotinerUpdate
0227EA44 EnemyDraghignazzoCreate
0227E8D8 EnemyDraghignazzoUpdate
0228EFB8 EnemyNeedlesCreate
0228F0B0 EnemyNeedlesUpdate
02276F60 EnemyHellBoarCreate
02277094 EnemyHellBoarUpdate
022326E4 EnemyBonePillarCreate
022327F0 EnemyBonePillarUpdate
0228BE88 EnemyWhiteDragonCreate
0228C0A0 EnemyWhiteDragonUpdate
0225D018 EnemyWakwakTreeCreate
0225D1A0 EnemyWakwakTreeUpdate
02285700 EnemyImpCreate
022857F4 EnemyImpUpdate
022416E8 EnemyHarpyCreate
022417DC EnemyHarpyUpdate
0227EA50 EnemyBarbaricciaCreate
