Idx  Type Pointer  Path
0000 0001 022D0F40 /bc/f_ara00.dat
0001 0001 022D0F4C /bc/f_ara01.dat
0002 0001 022D0F58 /bc/f_ara02.dat
0003 0001 022D0F64 /bc/f_ara03.dat
0004 0001 022D0F70 /bc/f_ara04.dat
0005 0001 022D0F7C /bc/f_ara05.dat
0006 0001 022D0F88 /bc/f_ara06.dat
0007 0001 022D0F94 /bc/f_ara07.dat
0008 0001 022D0FA0 /bc/f_ara08.dat
0009 0001 022D0FAC /bc/f_bka00.dat
000A 0001 022D0FB8 /bc/f_bka01.dat
000B 0001 022D0FC4 /bc/f_bka02.dat
000C 0001 022D0FD0 /bc/f_bka03.dat
000D 0001 022D0FDC /bc/f_bka04.dat
000E 0001 022D0FE8 /bc/f_bka05.dat
000F 0001 022D0FF4 /bc/f_bka06.dat
0010 0001 022D1000 /bc/f_bka07.dat
0011 0001 022D100C /bc/f_bka08.dat
0012 0001 022D1018 /bc/f_bkb00.dat
0013 0001 022D1024 /bc/f_bkb01.dat
0014 0001 022D1030 /bc/f_bkb02.dat
0015 0001 022D103C /bc/f_bkb03.dat
0016 0001 022D1048 /bc/f_bkb04.dat
0017 0001 022D1054 /bc/f_bkb05.dat
0018 0001 022D1060 /bc/f_bkb06.dat
0019 0001 022D106C /bc/f_bkb07.dat
001A 0001 022D1078 /bc/f_bkb08.dat
001B 0001 022D1084 /bc/f_bkb09.dat
001C 0001 022D1090 /bc/f_bkb10.dat
001D 0001 022D109C /bc/f_bkb11.dat
001E 0001 022D10A8 /bc/f_bkb12.dat
001F 0001 022D10B4 /bc/f_bkb13.dat
0020 0001 022D10C0 /bc/f_bkb14.dat
0021 0001 022D10CC /bc/f_bkb15.dat
0022 0001 022D10D8 /bc/f_bkb16.dat
0023 0001 022D10E4 /bc/f_bkb17.dat
0024 0001 022D10F0 /bc/f_bkb18.dat
0025 0001 022D10FC /bc/f_bkb19.dat
0026 0001 022D1108 /bc/f_bkb20.dat
0027 0001 022D1114 /bc/f_bkc00.dat
